AIR INDIA,MUSCAT,DELHI,53859,38560
AIR INDIA,MUSCAT,HYDERABAD,13887,13175
AIR INDIA,MUSCAT,MUMBAI,36565,40793
AIR INDIA,NARITA,DELHI,31154,33283
AIR INDIA,NEW YORK,DELHI,88672,92349
AIR INDIA,NEW YORK,MUMBAI,7139,12836
AIR INDIA,NEWARK,AHMEDABAD,13215,18232
AIR INDIA,NEWARK,DELHI,6616,7866
AIR INDIA,NEWARK,MUMBAI,79096,82582
AIR INDIA,OSAKA,DELHI,5545,6082
AIR INDIA,OSAKA,MUMBAI,1118,835
AIR INDIA,PARIS,CHENNAI,10954,8094
AIR INDIA,PARIS,DELHI,69792,59321
AIR INDIA,RANGOON,DELHI,2084,1987
AIR INDIA,RANGOON,GAYA,7292,5295
AIR INDIA,RANGOON,KOLKATA,4412,6972
AIR INDIA,RANGOON,VARANASI,1100,531
AIR INDIA,RIYADH,DELHI,39692,31031
AIR INDIA,RIYADH,KOCHI,19754,16596
AIR INDIA,RIYADH,MUMBAI,66600,70922
AIR INDIA,RIYADH,TRIVANDRUM,24453,22544
AIR INDIA,ROME,DELHI,30713,25421
AIR INDIA,SAN FRANCISCO,BENGALURU,2649,3298
AIR INDIA,SAN FRANCISCO,DELHI,36929,42172
AIR INDIA,SEOUL,DELHI,9459,10938
AIR INDIA,SEOUL,MUMBAI,2285,1930
AIR INDIA,SHANGHAI,DELHI,39298,38655
AIR INDIA,SHANGHAI,MUMBAI,14332,13313
AIR INDIA,SHARJAH,BENGALURU,40,41
AIR INDIA,SHARJAH,CHENNAI,6378,8281
AIR INDIA,SHARJAH,GOA,64,65
AIR INDIA,SHARJAH,HYDERABAD,227,310
AIR INDIA,SHARJAH,KOCHI,176,161
AIR INDIA,SHARJAH,KOZHIKODE,60706,55563
AIR INDIA,SHARJAH,MUMBAI,111,0
AIR INDIA,SHARJAH,TRIVANDRUM,42227,35940
AIR INDIA,SHARJAH,VISAKHAPATNAM,83,67
AIR INDIA,SINGAPORE,BENGALURU,19,0
AIR INDIA,SINGAPORE,CHENNAI,54355,59731
AIR INDIA,SINGAPORE,DELHI,63248,69367
AIR INDIA,SINGAPORE,MUMBAI,57215,63806
AIR INDIA,SYDNEY,DELHI,37869,43747
AIR INDIA,VIENNA,DELHI,28912,29106
AIR INDIA EXPRESS,ABUDHABI,DELHI,31767,36057
AIR INDIA EXPRESS,ABUDHABI,KOCHI,55759,61056
AIR INDIA EXPRESS,ABUDHABI,KOZHIKODE,53765,58902
AIR INDIA EXPRESS,ABUDHABI,MANGALORE,29151,32367
AIR INDIA EXPRESS,ABUDHABI,TRIVANDRUM,53089,55935
AIR INDIA EXPRESS,AL AIN,KOZHIKODE,14223,18654
AIR INDIA EXPRESS,AL AIN,TRIVANDRUM,9,20
AIR INDIA EXPRESS,BAHRAIN,KOCHI,9529,17006
AIR INDIA EXPRESS,BAHRAIN,KOZHIKODE,32516,35257
AIR INDIA EXPRESS,BAHRAIN,MANGALORE,8065,12681
AIR INDIA EXPRESS,BAHRAIN,TRIVANDRUM,606,961
AIR INDIA EXPRESS,DAMMAM,KOCHI,9282,8902
